Category,Value,Count
Sleep quality,11 hours,1703
Sleep quality,12 hours,657
Sleep quality,5 hours,558
Sleep quality,6 hours,1217
Sleep quality,7 hours,2020
Sleep quality,8 hours,3046
Sleep quality,9 hours,3405
Sleep quality,Less than 5 hours,667
Sleep classification,Mal sueño,1225
Sleep classification,Buen sueño,20731
