Category,Value,Count
Alcohol consumption frequency,I drink alcohol every day,172
Alcohol consumption classification,Occasional drinkers,1196
Alcohol consumption classification,Moderate drinkers,4436
Alcohol consumption classification,High consumption,448
Alcohol consumption classification,Abstainers,11168
